Gender,Age,MortRate
0,0,0.00032
0,1,0.000189
0,2,0.000163
0,3,0.00014
0,4,0.000125
0,5,0.000114
0,6,0.000111
0,7,0.000112
0,8,0.000114
0,9,0.000119
0,10,0.000122
0,11,0.000137
0,12,0.000155
0,13,0.000181
0,14,0.000227
0,15,0.000296
0,16,0.000339
0,17,0.000378
0,18,0.00041
0,19,0.000435
0,20,0.000432
0,21,0.000447
0,22,0.000459
0,23,0.000466
0,24,0.000472
0,25,0.000496
0,26,0.000504
0,27,0.000518
0,28,0.000538
0,29,0.000565
0,30,0.000657
0,31,0.000698
0,32,0.000749
0,33,0.000808
0,34,0.000877
0,35,0.000977
0,36,0.001063
0,37,0.00116
0,38,0.001268
0,39,0.001386
0,40,0.001528
0,41,0.001666
0,42,0.001813
0,43,0.001972
0,44,0.002141
0,45,0.002417
0,46,0.002607
0,47,0.002809
0,48,0.003023
0,49,0.00325
0,50,0.003462
0,51,0.003716
0,52,0.003987
0,53,0.004276
0,54,0.004585
0,55,0.00506
0,56,0.005416
0,57,0.005802
0,58,0.006222
0,59,0.006678
0,60,0.007461
0,61,0.008005
0,62,0.00861
0,63,0.009283
0,64,0.01004
0,65,0.011263
0,66,0.012233
0,67,0.013347
0,68,0.014613
0,69,0.016034
0,70,0.018508
0,71,0.020226
0,72,0.02211
0,73,0.024167
0,74,0.026421
0,75,0.028684
0,76,0.031399
0,77,0.034393
0,78,0.037686
0,79,0.041283
0,80,0.045179
0,81,0.049379
0,82,0.053919
0,83,0.058847
0,84,0.064234
0,85,0.070155
0,86,0.076679
0,87,0.083862
0,88,0.091503
0,89,0.099553
0,90,0.108814
0,91,0.119522
0,92,0.13014
0,93,0.141715
0,94,0.154333
0,95,0.168088
0,96,0.183083
0,97,0.199429
0,98,0.217248
0,99,0.236673
0,100,0.257849
0,101,0.280266
0,102,0.30338
0,103,0.327941
0,104,0.353936
0,105,0.381357
0,106,0.423024
0,107,0.468308
0,108,0.512549
0,109,0.558588
0,110,1
1,0,0.00025
1,1,0.000145
1,2,0.000124
1,3,0.000105
1,4,0.000093
1,5,0.000083
1,6,0.00008
1,7,0.000078
1,8,0.000076
1,9,0.000075
1,10,0.00007
1,11,0.000072
1,12,0.000077
1,13,0.000085
1,14,0.000097
1,15,0.00013
1,16,0.000144
1,17,0.000157
1,18,0.000169
1,19,0.000181
1,20,0.000178
1,21,0.000187
1,22,0.000196
1,23,0.000203
1,24,0.000209
1,25,0.00024
1,26,0.000249
1,27,0.00026
1,28,0.000275
1,29,0.000293
1,30,0.000313
1,31,0.000335
1,32,0.000358
1,33,0.000383
1,34,0.000409
1,35,0.000442
1,36,0.000474
1,37,0.00051
1,38,0.00055
1,39,0.000594
1,40,0.000654
1,41,0.000706
1,42,0.000763
1,43,0.000823
1,44,0.000888
1,45,0.001017
1,46,0.001092
1,47,0.001172
1,48,0.001259
1,49,0.001352
1,50,0.001424
1,51,0.001528
1,52,0.001638
1,53,0.001753
1,54,0.001876
1,55,0.002155
1,56,0.002305
1,57,0.002475
1,58,0.002668
1,59,0.002887
1,60,0.003323
1,61,0.0036
1,62,0.003918
1,63,0.00428
1,64,0.004697
1,65,0.005599
1,66,0.006148
1,67,0.006786
1,68,0.00752
1,69,0.00836
1,70,0.009714
1,71,0.010801
1,72,0.012043
1,73,0.013452
1,74,0.015043
1,75,0.01633
1,76,0.018316
1,77,0.020538
1,78,0.023013
1,79,0.02576
1,80,0.028787
1,81,0.032114
1,82,0.035787
1,83,0.039861
1,84,0.044417
1,85,0.049538
1,86,0.055311
1,87,0.061815
1,88,0.069117
1,89,0.077285
1,90,0.086386
1,91,0.096499
1,92,0.107714
1,93,0.120129
1,94,0.133841
1,95,0.148972
1,96,0.165642
1,97,0.183967
1,98,0.204056
1,99,0.226029
1,100,0.249978
1,101,0.275991
1,102,0.304114
1,103,0.334395
1,104,0.366803
1,105,0.40127
1,106,0.448839
1,107,0.498729
1,108,0.556522
1,109,0.619461
1,110,1
